hazard,product
milk and products thereof,ice cream
sulphur dioxide and sulphites,dried mushrooms
other not classified chemical hazards,thermal processed beef meat
listeria monocytogenes,chicken based products
cereals containing gluten and products thereof,fish products
processing,sausage products
cereals containing gluten and products thereof,sunflower seed
rubber fragments,frozen beef products
metal fragment,frozen pie
peanuts and products thereof,protein bar
escherichia coli,thermal processed beef meat
peanuts and products thereof,sesame
peanuts and products thereof,nuts
soybeans and products thereof,other types of meat
soybeans and products thereof,sausage products
inspection issues,chilled boneless pork meat
cereals containing gluten and products thereof,chicken products - frozen
peanuts and products thereof,unsalted organic crunchy peanut butter
sulphur dioxide and sulphites,cuttlefish
fish and products thereof,veal meat and offals
insects,soy sauce
insufficient labelling/documentation,semolina and products therefor
listeria monocytogenes,precooked cooked beef meat products
mustard and products thereof,ice cream
salmonella,garlic pickle
rubber fragments,dried beef meat
incorrect labeling,veal
high content of cyanide,palm oil
milk and products thereof,pasta
listeria monocytogenes,salmon
salmonella,fruits and vegetables
plastic fragment,Fishes not identified
cereals containing gluten and products thereof,garlic powder
salmonella,chorizo sausage
escherichia coli,cheese
milk and products thereof,coconut juice
inspection issues,turkey and turkey preparations
milk and products thereof,poppy
glass fragment,prepared salads
milk and products thereof,coconut milk
bacillus spp.,chicken based products
cereals containing gluten and products thereof,jam
salmonella,cereal bars with chocolate
salmonella,butter
microbiological contamination,chocolate bars
rubber fragments,chicken based products
plastic fragment,sauce
inspection issues,chorizo
peanuts and products thereof,parsley
peanuts and products thereof,pancakes
listeria monocytogenes,sandwiches
processing,nuts and nuts products
peanuts and products thereof,spread
salmonella,chia seeds
listeria monocytogenes,chicken preparations
almond,almonds
listeria monocytogenes,sausage
sulphur dioxide,dried mushrooms
peanuts and products thereof,tuna
listeria monocytogenes,dietary supplement
sulphur dioxide and sulphites,frozen fish burgers
milk and products thereof,cakes
soybeans and products thereof,rolls
rubber fragments,frozen poultry products
peanuts and products thereof,cookies
eggs and products thereof,chicken based products
milk and products thereof,waffles
listeria monocytogenes,sunflower seed
listeria monocytogenes,sunflower seed
listeria monocytogenes,sunflower seed
other,sunflower oil
salmonella,tiger nuts
peanuts and products thereof,dark chocolate coated almonds
salmonella,chocolate bars
listeria monocytogenes,honey
salmonella,sunflower seed
salmonella,trouts
listeria monocytogenes,pizza
escherichia coli,cooked chicken
eggs and products thereof,garlic pickle
misdescription,frozen fish fillets
peanuts and products thereof,chocolate bars
listeria monocytogenes,thermal processed pork meat
cereals containing gluten and products thereof,soft cheese (creams)
eggs and products thereof,lasagne
plastic fragment,Fishes not identified
plastic fragment,ground beef
inspection issues,other types of meat
salmonella,dietary supplement
salmonella,sesame seeds
salmonella,sesame seeds
milk and products thereof,ice cream
salmonella,salmon
rubber fragments,chicken based products
eggs and products thereof,sausage
plastic fragment,chicken breast
peanuts and products thereof,fish roe
listeria monocytogenes,sandwich spread
escherichia coli,mung bean sprouts
milk and products thereof,cookies
milk and products thereof,bars
peanuts and products thereof,blueberries
milk and products thereof,paella
spoilage,sauces
salmonella,paella
salmonella,bars
cereals containing gluten and products thereof,soup
almond,almonds
salmonella,salads
listeria monocytogenes,cheese
plastic fragment,spicy tomato sauce
metal fragment,other types of meat
listeria monocytogenes,butter
incorrect labeling,chorizo sausage
listeria monocytogenes,corn
listeria monocytogenes,pizza
metal fragment,ground beef
metal fragment,ready to eat - cook meals
other,broccoli
peanuts and products thereof,dumplings
listeria monocytogenes,ice cream
escherichia coli,veal
escherichia coli,ground beef
listeria monocytogenes,thermal processed beef meat
salmonella,ginger powder
escherichia coli,ground beef
escherichia coli,ready to eat meat product
listeria monocytogenes,chicken based products
escherichia coli,flour
milk and products thereof,corn
plastic fragment,frozen beef products
cereals containing gluten and products thereof,cakes
eggs and products thereof,sandwiches
cereals containing gluten and products thereof,red chili
stones,potato salad
moulds,yoghurt
norovirus,cakes
inspection issues,frozen pork trimmings
labelling/misdescription,mustard sauce
milk and products thereof,chicken based products
other,mashed chickpeas (hummus)
peanuts and products thereof,milk chocolate covered raisins
almond,tomato sauce
cereals containing gluten and products thereof,wine
cereals containing gluten and products thereof,spring rolls
other,rice snack
heavy metals,cream cheese
peanuts and products thereof,sushi
fish and products thereof,chicken based products
milk and products thereof,candies
salmonella,fish products
clostridium botulinum,salmon
almond,biscuits
milk and products thereof,beef products
inspection issues,chicken breast
fish and products thereof,sausage
plastic fragment,chorizo
milk and products thereof,coconut juice
milk and products thereof,butter
salmonella,granola
incorrect labeling,chicken based products
incorrect labeling,corn
salmonella,courgettes
soybeans and products thereof,granola
listeria monocytogenes,pomegranate
other not classified,corn
other,gravy mix
spoilage,halloumi cheese
fish and products thereof,cheese spread
salmonella,spicy tomato sauce
salmonella,cbd products
salmonella,cereal bars
peanuts and products thereof,waffles
salmonella,fajita meal
peanuts and products thereof,ice cream
fish and products thereof,cakes
escherichia coli,Not classified pork meat
listeria monocytogenes,prepared salads
milk and products thereof,waffles
salmonella,confectionery
plastic fragment,seafood
milk and products thereof,potato chips
insects,carbonated beverage
plastic fragment,"meat, egg and dairy products"
plastic fragment,chocolate bars
inspection issues,cured pork meat
cereals containing gluten and products thereof,spices
salmonella,basil
foreign bodies,veal
peanuts and products thereof,pastry tartlets
other not classified chemical hazards,guacamole
inspection issues,chicken products - frozen
insufficient labelling/documentation,wine
fish and products thereof,chicken based products
listeria monocytogenes,frozen vegetables
salmonella,sausage
salmonella,cheese products
cereals containing gluten and products thereof,nuts and nuts products
listeria monocytogenes,chicken based products
milk and products thereof,millet
listeria monocytogenes,pastry products
eggs and products thereof,broccoli
inspection issues,frozen pork preparations
spoilage,drinking chocolate powder
fish and products thereof,brown rice
peanuts and products thereof,curry
spoilage,fajita meal
peanuts and products thereof,chocolate products
sulphur dioxide and sulphites,goat cheese made from raw milk
salmonella,chicken based products
cereals containing gluten and products thereof,other types of meat
peanuts and products thereof,tomato sauce
fish and products thereof,fruit mix
plastic fragment,frozen beef patties
salmonella,raw beef meat
soybeans and products thereof,chicken preparations
almond,biscuits
plastic fragment,chicken products - frozen
almond,vanilla drink
spoilage,fajita meal
sulphur dioxide and sulphites,noodle
insects,dried figs
soybeans and products thereof,sausage
eggs and products thereof,chicken based products
listeria monocytogenes,"emulsifiers, stabilizers, thickeners and gelling agents"
milk and products thereof,oats
milk and products thereof,milk chocolates
inspection issues,Catfishes (freshwater)
listeria monocytogenes,sausage
cereals containing gluten and products thereof,pop corn
salmonella,turkey and turkey preparations
fish and products thereof,fresh broccoli
glass fragment,flavours
listeria monocytogenes,fruits and vegetables
milk and products thereof,bread and products therefor
salmonella,biscuits
listeria monocytogenes,prepared salads
incorrect labeling,drinking chocolate powder
escherichia coli,coriander
soybeans and products thereof,sausage products
eggs and products thereof,prepared dishes and snacks
salmonella,salmon
glass fragment,soup
milk and products thereof,almond milk
peanuts and products thereof,turkey
plastic fragment,cheese spread
milk and products thereof,instant noodles
foreign bodies,chicken based products
other,other dairy products
other,spring water
unauthorised substance ethylene oxide,green pesto basil sauce
microbiological contamination,soft cheese
milk and products thereof,protein bar
milk and products thereof,candies
insects,fajita meal
spoilage,chicken based products
sulphur dioxide,sausage
milk and products thereof,chocolate bars
eggs and products thereof,rolls
foreign bodies,chicken breast
peanuts and products thereof,sport drink
fish and products thereof,prepared salads
milk and products thereof,corn
escherichia coli,liquid egg white
milk and products thereof,pizza
glass fragment,butter
listeria monocytogenes,frozen diced chicken roast
listeria monocytogenes,chicken based products
moulds,dumplings
listeria monocytogenes,thermal processed beef meat
milk and products thereof,other dairy products
microbiological contamination,bottled water
milk and products thereof,salads
listeria monocytogenes,sausage
listeria monocytogenes,cheese
listeria monocytogenes,dried elder berries
sulphur dioxide and sulphites,salads
almond,protein balls
salmonella,nuts mix
almond,nuts
salmonella,tahini
listeria monocytogenes,sandwiches
eggs and products thereof,chicken products - frozen
escherichia coli,thermal processed beef meat
salmonella,corn
plastic fragment,pastry tartlets
plastic fragment,beef
milk and products thereof,pasta
peanuts and products thereof,sesame seeds
norovirus,oysters
other not classified chemical hazards,energy drink
milk and products thereof,spring rolls
cereals containing gluten and products thereof,buns
eggs and products thereof,Fishes not identified
milk and products thereof,mayonnaise
milk and products thereof,curry sauces
almond,nuts
milk and products thereof,chocolate bars
salmonella,barbecue sauce
listeria monocytogenes,other dairy products
sulphur dioxide and sulphites,pancakes
salmonella,pastry products
listeria monocytogenes,fresh mushrooms
sulphur dioxide,fruit juice
incorrect labeling,mashed chickpeas (hummus)
norovirus,prepared dish
moulds,basil pesto sauce
other not classified chemical hazards,dumplings
inspection issues,pizza
soybeans and products thereof,pasta products
milk and products thereof,ice cream
other,curry
microbiological contamination,bakery products
milk and products thereof,chocolate drink powder
peanuts and products thereof,mashed chickpeas (hummus)
listeria monocytogenes,roasted coffee
salmonella,onions
salmonella,peaches
cereals containing gluten and products thereof,butter
listeria monocytogenes,chicken breast
soybeans and products thereof,feed materials
peanuts and products thereof,granola
escherichia coli,ground beef
foreign bodies,sunflower seed
milk and products thereof,dark chocolates
eggs and products thereof,salads
listeria monocytogenes,goat cheese
clostridium botulinum,cider
unauthorised substance ethylene oxide,sesame seeds
plastic fragment,bread
bacillus spp.,snacks (various)
salmonella,halva
unauthorised substance ethylene oxide,biscuits
salmonella,roasted coffee
almond,cookies
milk and products thereof,pasta
cereals containing gluten and products thereof,mixed spices
salmonella,chicken based products
unauthorised substance ethylene oxide,sesame seeds
plastic fragment,ready to eat - cook meals
almond,spring rolls
soybeans and products thereof,prepacked salad
almond,chorizo sausage
metal fragment,dried mushrooms
clostridium botulinum,vacuum packed sliced ham
milk and products thereof,rice crackers
soybeans and products thereof,corn
milk and products thereof,rice snack
glass fragment,duck
milk and products thereof,cookies
peanuts and products thereof,butter
salmonella,dried beef meat
almond,chocolate mini muffins
listeria monocytogenes,fish roe
other,fruit juice
sulphur dioxide,salads
peanuts and products thereof,sugar
milk and products thereof,sauce
insufficient labelling/documentation,ready to eat meat product
milk and products thereof,minced chicken
milk and products thereof,frozen fish burgers
cereals containing gluten and products thereof,pasta
listeria monocytogenes,yoghurt
glass fragment,bakery products
glass fragment,mashed chickpeas (hummus)
soybeans and products thereof,soy products
plastic fragment,fish products
processing,oysters
milk and products thereof,high protein bars
milk and products thereof,desserts
salmonella,olive oil
sulphur dioxide and sulphites,dried apricots
norovirus,mashed chickpeas (hummus)
salmonella,seasoning
milk and products thereof,dark chocolates
unauthorised substance ethylene oxide,fish products
milk and products thereof,dried apricots
sulphur dioxide,dried shrimp noodles
foreign bodies,chicken based products
salmonella,thermal processed pork meat
glass fragment,cheese - melted
listeria monocytogenes,soy sauce
listeria monocytogenes,"meat, egg and dairy products"
spoilage,pancakes
listeria monocytogenes,salmon
sulphur dioxide,sprouts
incorrect use by dates,sesame seeds
listeria monocytogenes,fruits and vegetables
peanuts and products thereof,biscuits
listeria monocytogenes,courgettes
milk and products thereof,caramel bites
mustard and products thereof,cattle from which the milk was used to produce raw milk cheese
salmonella,prawns
incorrect labeling,maize
milk and products thereof,fish roe
salmonella,chicken based products
milk and products thereof,turnips
other,soy products
listeria monocytogenes,fresh mushrooms
plastic fragment,waffles
plastic fragment,protein powder
bacillus spp.,cbd products
sulphur dioxide,soy sauce
cereals containing gluten and products thereof,dried chilli peppers
milk and products thereof,milk chocolate covered raisins
salmonella,pasta products
other not classified,carbonated/sparkling water
other not classified,lime
salmonella,bakery products
sulphur dioxide and sulphites,dried coconut
cereals containing gluten and products thereof,sausage
peanuts and products thereof,chicken breast
salmonella,croissants
salmonella,croissants
salmonella,poppy
peanuts and products thereof,pastry tartlets
cereals containing gluten and products thereof,ginger slices
salmonella,peanuts
cyclospora,sweet nut snack
salmonella,yoghurt
unauthorised substance ethylene oxide,ice cream
milk and products thereof,baby spinach
milk and products thereof,protein bar
plastic fragment,cookies
peanuts and products thereof,biscuits
almond,milk chocolate covered raisins
