hazard,product
cereals containing gluten and products thereof,dip-sauce
salmonella,tortilla chips
vibrio spp,pasta products
milk and products thereof,pasta products
pathogenic bacteria,seasoning
metal fragment,pasta products
plastic fragment,cereal bars
inspection issues,meat and meat products (other than poultry)
salmonella,sauces
salmonella,macadamia nuts
fish and products thereof,ham
listeria monocytogenes,sauce
peanuts and products thereof,dumplings
inspection issues,chicken based products
milk and products thereof,wine
insufficient labelling/documentation,ready to eat - cook meals
listeria monocytogenes,frozen vegetables
salmonella,chicken based products
salmonella,chilli powder
peanuts and products thereof,crackers
listeria monocytogenes,chicken based products
cereals containing gluten and products thereof,corn
metal fragment,salads
cereals containing gluten and products thereof,Fishes not identified
undeclared constituent,turkey and turkey preparations
microbiological contamination,tea
cereals containing gluten and products thereof,sauces
milk and products thereof,salad dressing
moulds,sauces
allergens,snacks (various)
sulphur dioxide and sulphites,mango
salmonella,chicken based products
milk and products thereof,pasta products
milk and products thereof,corn
eggs and products thereof,chocolate bars
plastic fragment,pasta products
salmonella,raw beef meat
undeclared constituent,chicken based products
peanuts and products thereof,pudding
plastic fragment,smoked sausage
almond,vanilla drink
spoilage,prepared dishes and snacks
vibrio spp,corn
insects,tea drink
milk and products thereof,cooked chicken
milk and products thereof,chicken based products
listeria monocytogenes,cheddar cheese
milk and products thereof,corn
milk and products thereof,cakes
soybeans and products thereof,fish products
allergens,cakes
cereals containing gluten and products thereof,soup
salmonella,turkey and turkey preparations
milk and products thereof,seafood cocktail
moulds,peanuts
listeria monocytogenes,sauce
eggs and products thereof,bread
listeria monocytogenes,peanuts
listeria monocytogenes,chicken based products
almond,filled chocolate
escherichia coli,dried beans
soybeans and products thereof,other not classified meat products
eggs and products thereof,Fishes not identified
listeria monocytogenes,salmon
milk and products thereof,soup
milk and products thereof,almond milk
incorrect use by dates,dumplings
cereals containing gluten and products thereof,corn
eggs and products thereof,seasoning
plastic fragment,chicken based products
salmonella,salads
moulds,fruit juice
soybeans and products thereof,bean paste
glass fragment,seasoning
milk and products thereof,protein bar
milk and products thereof,pudding
sulphur dioxide and sulphites,snacks (various)
plastic fragment,chicken based products
sulphur dioxide and sulphites,dates
milk and products thereof,prepared dishes and snacks
allergens,mustard sauce
plastic fragment,chicken based products
salmonella,corn
milk and products thereof,prepared dishes and snacks
milk and products thereof,corn
other not classified biological hazards,food supplement
milk and products thereof,cooked chicken
eggs and products thereof,chicken based products
listeria monocytogenes,frozen diced chicken roast
listeria monocytogenes,cooked chicken
chemical compound (high content),sauces
listeria monocytogenes,thermal processed pork meat
milk and products thereof,dark chocolates
pseudomonas spp.,bottled water
milk and products thereof,pasta products
listeria monocytogenes,other not classified meat products
listeria monocytogenes,cheese
listeria monocytogenes,golden enoki mushrooms
mustard and products thereof,soup
walnut,rolls
salmonella,dried coconut
fish and products thereof,spring rolls
salmonella,tahini
listeria monocytogenes,sandwiches
milk and products thereof,pasta products
escherichia coli,veal
listeria monocytogenes,ready to eat - cook meals
plastic fragment,sauces
plastic fragment,starch
milk and products thereof,spring rolls
novel food,Fishes not identified
norovirus,oysters
fish and products thereof,sauces
milk and products thereof,spring rolls
incorrect use by dates,prepared dishes and snacks
eggs and products thereof,Fishes not identified
milk and products thereof,spring rolls
milk and products thereof,spring rolls
soybeans and products thereof,cookies
soybeans and products thereof,chocolate bars
milk and products thereof,dip-sauce
listeria monocytogenes,salmon
peanuts and products thereof,fruit mix
eggs and products thereof,pasta products
listeria monocytogenes,fresh mushrooms
patulin,apple juice
other,cocktail sausage rolls
plastic fragment,dip-sauce
moulds,dip-sauce
insufficient labelling/documentation,dumplings
inspection issues,pizza
milk and products thereof,chorizo
milk and products thereof,ice cream
salmonella,dried coconut
salmonella,salads
milk and products thereof,chocolate drink powder
eggs and products thereof,chilled pork
incorrect use by dates,sandwiches
salmonella,onions
salmonella,peaches
cereals containing gluten and products thereof,prepared dishes
listeria monocytogenes,ready to eat - cook meals
milk and products thereof,parsnip
milk and products thereof,milk chocolates
escherichia coli,ground beef
plastic fragment,ready to eat - cook meals
milk and products thereof,dark chocolates
milk and products thereof,ready to eat - cook meals
listeria monocytogenes,cheese
improper conditions,sauces
unauthorised substance ethylene oxide,sesame seeds
foreign bodies,bread
moulds,other not classified meat products
salmonella,halva
unauthorised substance ethylene oxide,cookies
salmonella,onions
peanuts and products thereof,cookies
milk and products thereof,chicken pie
allergens,noodle soup
salmonella,chicken based products
unauthorised substance ethylene oxide,sesame seeds
plastic fragment,cooked chicken
soybeans and products thereof,curry
cereals containing gluten and products thereof,prepared salads
allergens,hot chilli and hot chilli products
plastic fragment,pasta products
clostridium botulinum,clams (canned)
soybeans and products thereof,cheese
milk and products thereof,corn
eggs and products thereof,corn
glass fragment,sauces
milk and products thereof,buns
labelling/misdescription,tea
salmonella,pet feed
almond,breakfast cereals
salmonella,onions
other not classified,milk and milk products
improper conditions,chicken based products
cashew,"nuts, nut products and seeds"
milk and products thereof,cookies
eggs and products thereof,sauces
eggs and products thereof,ready to eat - cook meals
milk and products thereof,sauce
insufficient labelling/documentation,sauces
listeria monocytogenes,cheese
glass fragment,bakery products
improper conditions,cakes
soybeans and products thereof,soy products
other not classified biological hazards,cakes
salmonella,Fishes not identified
milk and products thereof,high protein bars
milk and products thereof,desserts
listeria monocytogenes,cabbage
sulphates/sulphites,dried apricots
chemical compound (unauthorised),dietary supplement
salmonella,seasoning
peanuts and products thereof,dark chocolates
other,other dairy products
milk and products thereof,potato chips
sulphur dioxide,dried shrimp noodles
fish and products thereof,chicken based products
salmonella,thermal processed pork meat
mustard and products thereof,chorizo
listeria monocytogenes,cheddar cheese
listeria monocytogenes,thermal processed pork meat
glass fragment,pet feed
listeria monocytogenes,salmon
sulphur dioxide,noodle
spoilage,bakery products
listeria monocytogenes,broccoli
milk and products thereof,biscuits
listeria monocytogenes,salads
peanuts and products thereof,milk chocolates
mustard and products thereof,herring
milk and products thereof,tahini
salmonella,desserts
milk and products thereof,Fishes not identified
salmonella,chicken
milk and products thereof,sauerkraut meal
moulds,butter
listeria monocytogenes,fresh mushrooms
plastic fragment,beans
spoilage,milk powder
too high content of tetrahydrocannabinol (THC),cbd products
spoilage,pasta
other,coconut drink
walnut,breakfast cereals
salmonella,cow milk cheese
glass fragment,frozen hash browns
other not classified,lime
salmonella,buns
sulphur dioxide and sulphites,dried shitake mushrooms (lentinula edodes)
milk and products thereof,sausage
milk and products thereof,sausage
salmonella,dates
salmonella,desserts
salmonella,poppy
peanuts and products thereof,cookies
cereals containing gluten and products thereof,seasoning mix
salmonella,macadamia nuts
glass fragment,food supplement
escherichia coli,sauce
unauthorised substance ethylene oxide,ice cream
spoilage,potato salad
milk and products thereof,protein bar
plastic fragment,cookies
peanuts and products thereof,biscuits
almond,dark chocolate coated almonds
